Transaction_ID,Amount,Time,Transaction_Type,Location,Card_Type,Merchant_Category,Device_Type,Previous_Fraudulent,Fraudulent
1,1875.8278936425756,2382,Online,UK,Discover,Travel,Mobile,1,0
2,4753.817960517531,49683,POS,Germany,Visa,Travel,Desktop,0,0
3,3661.3097393479684,45276,Online,UK,MasterCard,Travel,Mobile,0,0
4,2995.299128564198,33402,POS,UK,Discover,Travel,Tablet,0,0
5,784.3131090099704,26946,ATM,Canada,Discover,Grocery,Tablet,0,0
6,784.1926290793322,79698,POS,UK,Discover,Retail,Mobile,0,0
7,295.1276427801563,73933,POS,Germany,Visa,Electronics,Mobile,0,0
8,4331.549848145802,22335,Online,USA,Visa,Retail,Desktop,0,0
9,3007.569483657328,45095,ATM,USA,MasterCard,Electronics,Desktop,1,0
10,3541.8225260912473,79930,POS,USA,Amex,Grocery,Laptop,0,0
11,107.81954900753323,27197,Online,Germany,Amex,Grocery,Laptop,1,0
12,4849.699711549161,22010,Online,USA,Visa,Food,Desktop,1,0
13,4163.050990798107,24123,POS,Canada,Discover,Food,Laptop,1,0
14,1065.6338578379894,2890,Online,Germany,Amex,Grocery,Laptop,0,0
15,913.2157111994676,8026,POS,Germany,Amex,Grocery,Mobile,0,0
16,921.105526717902,64925,POS,Germany,Visa,Electronics,Desktop,1,0
17,1524.690003582891,68842,POS,UK,MasterCard,Grocery,Mobile,0,0
18,2626.158376003028,33665,ATM,UK,Visa,Retail,Mobile,1,0
19,2162.565368117368,9277,POS,UK,Visa,Electronics,Laptop,1,1
20,1459.6895552892195,42239,Online,India,Discover,Grocery,Mobile,1,0
21,3061.205209138285,47664,ATM,Canada,Visa,Electronics,Tablet,0,0
22,701.771833956949,48008,Online,Germany,Discover,Electronics,Laptop,1,0
23,1464.2625194334146,14683,ATM,Germany,MasterCard,Travel,Tablet,0,0
24,1834.9774072519901,670,ATM,UK,Discover,Food,Laptop,1,0
25,2283.0695711640947,17889,ATM,Germany,MasterCard,Electronics,Mobile,0,0
26,3926.953927158103,55612,ATM,Germany,MasterCard,Electronics,Laptop,1,0
27,1002.3705418810068,44535,Online,USA,MasterCard,Travel,Tablet,0,0
28,2573.60101987599,78542,POS,Germany,Visa,Grocery,Laptop,1,0
